{'timestamp': '2025-08-02T18:38:33.232686', 'sound_detected': True}
{'timestamp': '2025-08-02T18:38:39.120264', 'sound_detected': True}
{'timestamp': '2025-08-02T18:38:44.713738', 'sound_detected': True}
{'timestamp': '2025-08-02T18:38:50.302712', 'sound_detected': True}
{'timestamp': '2025-08-02T18:38:55.891503', 'sound_detected': True}
{'timestamp': '2025-08-02T18:39:01.482337', 'sound_detected': True}
{'timestamp': '2025-08-02T18:39:07.091781', 'sound_detected': True}
{'timestamp': '2025-08-02T18:39:12.704860', 'sound_detected': True}
{'timestamp': '2025-08-02T18:39:18.656383', 'sound_detected': True}
{'timestamp': '2025-08-02T18:39:24.475401', 'sound_detected': True}
{'timestamp': '2025-08-02T18:39:30.222459', 'sound_detected': True}
{'timestamp': '2025-08-02T18:39:35.890497', 'sound_detected': True}
{'timestamp': '2025-08-02T18:39:41.403335', 'sound_detected': True}
{'timestamp': '2025-08-02T18:39:46.993017', 'sound_detected': True}
{'timestamp': '2025-08-02T18:39:52.588386', 'sound_detected': True}
{'timestamp': '2025-08-02T18:39:58.177281', 'sound_detected': True}
{'timestamp': '2025-08-02T18:40:03.772879', 'sound_detected': True}
{'timestamp': '2025-08-02T18:40:09.362604', 'sound_detected': True}
{'timestamp': '2025-08-02T18:40:14.952426', 'sound_detected': True}
{'timestamp': '2025-08-02T18:40:20.539128', 'sound_detected': True}
{'timestamp': '2025-08-02T18:40:26.120776', 'sound_detected': True}
{'timestamp': '2025-08-02T18:40:31.642312', 'sound_detected': True}
{'timestamp': '2025-08-02T18:40:37.231943', 'sound_detected': True}
{'timestamp': '2025-08-02T18:40:42.820446', 'sound_detected': True}
{'timestamp': '2025-08-02T18:40:48.401157', 'sound_detected': True}
{'timestamp': '2025-08-02T18:40:54.013794', 'sound_detected': True}
{'timestamp': '2025-08-02T18:40:59.874595', 'sound_detected': True}
{'timestamp': '2025-08-02T18:41:05.496531', 'sound_detected': True}
{'timestamp': '2025-08-02T18:41:11.079457', 'sound_detected': True}
{'timestamp': '2025-08-02T18:41:16.663026', 'sound_detected': True}
{'timestamp': '2025-08-02T18:41:22.243518', 'sound_detected': True}
{'timestamp': '2025-08-02T18:41:27.871267', 'sound_detected': True}
{'timestamp': '2025-08-02T18:41:33.461400', 'sound_detected': True}
{'timestamp': '2025-08-02T18:41:39.411272', 'sound_detected': True}
{'timestamp': '2025-08-02T18:41:45.253938', 'sound_detected': True}
{'timestamp': '2025-08-02T18:41:50.996173', 'sound_detected': True}
{'timestamp': '2025-08-02T18:41:56.669993', 'sound_detected': True}
{'timestamp': '2025-08-02T18:42:02.266860', 'sound_detected': True}
{'timestamp': '2025-08-02T18:42:07.868472', 'sound_detected': True}
{'timestamp': '2025-08-02T18:42:13.465561', 'sound_detected': True}
{'timestamp': '2025-08-02T18:42:19.290725', 'sound_detected': True}
{'timestamp': '2025-08-02T18:42:25.009233', 'sound_detected': True}
{'timestamp': '2025-08-02T18:42:30.850801', 'sound_detected': True}
{'timestamp': '2025-08-02T18:42:36.586613', 'sound_detected': True}
{'timestamp': '2025-08-02T18:42:42.270383', 'sound_detected': True}
{'timestamp': '2025-08-02T18:42:47.866485', 'sound_detected': True}
{'timestamp': '2025-08-02T18:42:53.464066', 'sound_detected': True}
{'timestamp': '2025-08-02T18:42:59.120982', 'sound_detected': True}
{'timestamp': '2025-08-02T18:43:04.970800', 'sound_detected': True}
{'timestamp': '2025-08-02T18:43:10.715057', 'sound_detected': True}
{'timestamp': '2025-08-02T18:43:16.232655', 'sound_detected': True}
{'timestamp': '2025-08-02T18:43:21.821351', 'sound_detected': True}
{'timestamp': '2025-08-02T18:43:27.414917', 'sound_detected': True}
{'timestamp': '2025-08-02T18:43:32.999602', 'sound_detected': True}
{'timestamp': '2025-08-02T18:43:38.677456', 'sound_detected': True}
{'timestamp': '2025-08-02T18:43:44.599219', 'sound_detected': True}
{'timestamp': '2025-08-02T18:43:50.410391', 'sound_detected': True}
{'timestamp': '2025-08-02T18:43:56.146425', 'sound_detected': True}
{'timestamp': '2025-08-02T18:44:01.805091', 'sound_detected': True}
{'timestamp': '2025-08-02T18:44:07.392120', 'sound_detected': True}
{'timestamp': '2025-08-02T18:44:12.982201', 'sound_detected': True}
{'timestamp': '2025-08-02T18:44:18.647693', 'sound_detected': True}
{'timestamp': '2025-08-02T18:44:24.456569', 'sound_detected': True}
{'timestamp': '2025-08-02T18:44:30.071578', 'sound_detected': True}
{'timestamp': '2025-08-02T18:44:35.661997', 'sound_detected': True}
{'timestamp': '2025-08-02T18:44:41.252950', 'sound_detected': True}
{'timestamp': '2025-08-02T18:44:46.773735', 'sound_detected': True}
{'timestamp': '2025-08-02T18:44:52.296192', 'sound_detected': True}
{'timestamp': '2025-08-02T18:44:57.884255', 'sound_detected': True}
{'timestamp': '2025-08-02T18:45:03.464625', 'sound_detected': True}
{'timestamp': '2025-08-02T18:45:09.049999', 'sound_detected': True}
{'timestamp': '2025-08-02T18:45:14.633777', 'sound_detected': True}
{'timestamp': '2025-08-02T18:45:20.218409', 'sound_detected': True}
{'timestamp': '2025-08-02T18:45:25.801568', 'sound_detected': True}
